image_id,label
2893,0
2901,0
2907,0
2909,0
2913,0
2916,0
2917,0
2920,0
2924,0
2929,0
2931,0
2933,0
2937,0
2941,0
2946,0
2948,0
2955,0
2957,0
2958,0
2961,0
2963,0
2965,0
2973,0
2975,0
2979,0
2981,0
2987,0
2988,0
2989,0
2990,0
2992,0
2994,0
3005,0
3008,0
3011,0
3013,0
3017,0
3025,0
3028,0
3029,0
3031,1
3048,0
3052,0
3054,0
3057,0
3063,0
3084,1
3102,0
3108,0
3110,0
3111,0
3114,0
3116,0
3131,0
3139,0
3147,0
3148,0
3157,0
3160,0
3164,0
3179,0
3189,0
3191,0
3194,0
3202,0
3203,0
3208,0
3210,0
3219,0
3223,0
3227,0
3241,0
3242,1
3252,0
3254,0
3261,0
3264,0
3265,0
3272,0
3281,0
3288,0
3293,0
3294,0
3305,0
3306,0
3309,0
3313,0
3319,0
3323,0
3328,0
3329,0
3330,0
3333,0
3335,0
3336,0
3337,0
3341,0
3367,0
3371,0
3372,0
3376,0
3379,0
3401,0
3406,0
3421,0
3423,0
3435,0
3436,0
3440,0
3456,0
3485,0
3494,0
3498,0
3505,1
3513,0
3514,0
3517,0
3518,0
3519,0
3521,0
3522,0
3527,0
3541,0
3544,0
3546,0
3549,0
3552,0
3553,0
3554,0
3556,0
3570,0
3578,0
3580,0
3582,0
3587,0
3588,0
3589,0
3594,0
3606,0
3607,0
3608,0
3611,0
3616,0
3620,0
3627,0
3629,0
3630,0
3640,0
3646,0
3662,0
3671,0
3672,0
3683,0
3684,0
3697,0
3699,0
3708,0
3717,0
3723,0
3726,0
3729,0
3734,0
3736,0
3739,0
3740,0
3745,0
3750,1
3755,0
3763,0
3770,0
3780,0
3782,0
3793,0
3799,0
3803,0
3817,0
3826,0
3832,0
3838,0
3840,0
3842,0
3848,0
3852,0
3858,0
3861,0
3863,0
3864,0
3865,0
3875,0
3880,0
3881,0
3882,0
3883,0
3887,0
3890,0
3892,0
3895,0
3898,0
3903,0
3917,0
3918,0
3921,0
3926,0
3927,0
3938,0
3939,0
3944,0
3950,0
3955,0
3956,0
3963,0
3966,0
3967,0
3976,0
3981,0
4013,0
4020,0
4040,0
4043,0
4045,0
4046,0
4052,0
4064,0
4065,0
4067,1
4068,0
4072,0
4103,0
4108,0
4117,0
4137,0
4148,0
4154,0
4156,0
4165,0
4168,0
4171,0
4173,0
4174,0
4175,0
4176,0
4192,0
4194,0
4196,0
4204,0
4208,0
4209,0
4211,0
4212,0
4217,0
4222,0
4229,0
4238,0
4239,0
4242,1
4248,0
4268,0
4275,0
4277,0
4278,0
4284,0
4286,0
4293,0
4295,0
4296,0
4298,0
4303,0
4305,0
4308,0
4318,0
4324,0
4327,0
4333,0
4334,0
4335,0
4343,0
4350,0
4362,0
4376,0
4379,0
4381,0
4383,0
4396,0
4398,0
4403,0
4407,0
4413,0
4433,0
4434,0
4436,0
4438,0
4440,0
4442,0
4457,0
4466,0
4470,0
4478,0
4481,0
4485,0
4491,0
4498,0
4501,0
4503,0
4504,0
4505,0
4507,0
4508,0
4509,0
4518,0
4519,0
4523,0
4528,0
4533,0
4536,0
4545,0
4549,0
4555,0
4560,0
4566,0
4571,0
4594,0
4595,0
4601,0
4607,0
4613,0
4615,1
4619,0
4621,0
4622,0
4635,0
4641,0
4642,0
4646,0
4648,0
4653,0
4654,0
4655,0
4658,0
4666,0
4669,0
4698,1
4701,0
4702,0
4703,0
4712,0
4714,0
4715,0
4724,0
4736,0
4737,0
4739,0
4744,0
4747,0
4767,0
4771,0
4780,0
4784,0
4789,0
4795,0
4800,0
4805,0
4821,0
4822,0
4823,0
4824,0
4825,0
4830,0
4833,0
4835,0
4845,0
4851,0
4863,0
4865,0
4872,0
4873,0
4876,0
4883,0
4888,0
4889,0
4905,0
4908,0
4915,0
4925,0
4926,0
4929,0
4930,0
4932,0
4937,0
4939,0
4959,0
4961,1
4963,0
4966,1
4971,0
4972,0
4973,0
4986,0
4991,0
4992,0
5004,0
5006,0
5010,0
5020,0
5033,0
5038,1
5040,0
5058,0
5064,0
5075,0
5076,0
5078,0
5079,0
5081,0
5087,0
5098,0
5099,0
5100,0
5104,0
5106,0
5117,0
5131,0
5132,0
5151,0
5156,0
5174,0
5192,0
5196,0
5204,0
5206,0
5211,0
5231,0
5233,0
5236,0
5237,0
5241,0
5253,0
5261,0
5272,0
5284,0
5288,0
5299,0
5306,0
5307,0
5314,0
5325,0
5328,0
5334,0
5357,0
5359,0
5363,0
5364,0
5372,0
5379,0
5382,0
5385,0
5386,0
5390,0
5399,0
5401,1
5405,0
5406,0
5414,0
5418,0
5423,0
5426,0
5428,0
5433,0
5435,0
5438,0
5442,0
5445,0
5446,0
5447,0
5448,0
5459,1
5460,0
5461,0
5468,0
5472,0
5479,0
5509,0
5523,0
5533,0
5534,0
5538,0
5542,0
5555,0
5557,0
5565,0
5567,0
5571,1
5576,0
5577,0
5590,0
5593,0
5600,0
5625,0
5634,0
5641,0
5648,0
5652,0
5660,0
5662,0
5663,0
5671,0
5676,0
5682,0
5684,0
5685,0
5686,0
5693,0
5694,0
5698,0
5729,0
5730,0
5739,0
5743,0
5753,0
5760,0
5764,0
5783,0
5786,0
5787,0
5808,0
5810,0
5815,0
5824,0
5826,0
5830,0
5832,0
5834,0
5849,0
5852,0
5855,0
5857,0
5872,0
5884,0
5885,0
5887,0
5891,0
5900,1
5901,0
5907,0
5908,0
5910,0
5911,0
5917,0
5929,0
5936,0
5938,0
5943,0
5944,0
5947,0
5957,0
5963,0
5989,0
6003,0
6010,0
6012,0
6028,0
6030,0
6034,0
6036,0
6044,0
6045,0
6049,0
6055,0
6059,0
6063,0
6068,0
6077,0
6078,0
6079,0
6090,0
6093,0
6097,0
6114,0
6120,0
6124,0
6127,0
6130,0
6138,0
6139,0
6146,0
6150,0
6153,0
6156,0
6164,0
6165,0
6182,0
6183,0
6188,0
6196,0
6200,0
6208,0
6209,0
6223,0
6226,0
6238,0
6244,0
6248,0
6254,0
6255,0
6267,0
6275,0
6277,0
6282,0
6289,0
6299,0
6300,0
6303,0
6309,0
6316,0
6317,0
6324,0
6325,0
6329,0
6332,0
6333,0
6336,0
6339,0
6346,0
6347,0
6350,0
6362,0
6373,0
6380,0
6382,0
6383,0
6396,0
6399,0
6400,0
6402,0
6414,0
6421,0
6422,0
6424,0
6425,0
6432,0
6451,0
6456,0
6460,0
6464,0
6466,0
6470,0
6475,0
6477,0
6490,0
6524,0
6535,0
6536,0
6541,0
6544,0
6550,0
6554,0
6559,0
6566,0
6570,0
6572,0
6587,0
6588,0
6590,0
6596,0
6603,0
6612,0
6623,0
6651,0
6663,0
6668,0
6670,0
6671,0
6672,0
6677,0
6695,0
6698,0
6703,0
6709,0
6711,0
6712,0
6713,0
6731,0
6736,0
6743,0
6750,0
